,page,incidentType,date,dateReported,dateOfIncident,location,otherIncidentType,Incident Details,Description Details
57,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2024/02/security-incident-february-22,Robbery: Suspect Arrested,2024-02-22T15:42:00.000-05:00,2024-02-20T21:00:00.000-05:00,2024-02-20T21:00:00.000-05:00,Victoria Street and Dundas Street East,,"A member of the public reported to TMU Security that while walking in the area with four other members of the public, three individuals approached them and brandished an edged object and a non-edged object and tried to take their belongings. No visible injuries were reported. Toronto Police Service were notified, attended and arrested the individuals.","['The first individual was described as male with a medium complexion, approximately 30 to 40 years old and approximately 173 cm (5â\x80\x998â\x80\x9d).\xa0 They were wearing a red hoodie and beige sweatpants.', 'The second individual was described as male with a medium complexion and approximately 175 cm (5â\x80\x999â\x80\x9d). They had long light brown hair. They were wearing a black toque, black hoodie, black pants and carrying a backpack.', 'No description available for the third individual.']"
58,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2024/02/security-incident-february-20,Criminal Harassment,2024-02-20T17:29:00.000-05:00,2024-02-14T21:15:00.000-05:00,2024-02-14T21:15:00.000-05:00,Architecture Building,,"A TMU community member reported to TMU Security that they noticed an individual following them and followed them inside the building before the door closed. The community member then ran away and the subject chased them. The community member managed to enter another access card area and close the door behind them and the individual left. Security attended, but the individual had already left campus. The community member declined assistance from the Toronto Police Service.","['The individual was described as male with a light complexion and approximately 180 cm (5â\x80\x9911â\x80\x9d). They had a full beard. They were wearing a multi-coloured toque, a black coat and blue jeans.']"
59,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2024/02/security-incident-february-8-2,Robbery,2024-02-08T20:20:00.000-05:00,2024-02-08T15:30:59.967-05:00,2024-02-08T15:30:50.889-05:00,Ted Rogers School of Management,,"A TMU community member reported to TMU Security that an individual approached them, demanded their belongings, and threatened to stab them. No weapon was seen. The community member refused, and the individual left.  Security attended, but the individual had already left campus. The community member declined assistance from the Toronto Police Service.","['The individual was described as male with a dark complexion and approximately 18 to 25 years old. They were wearing a black hoodie and blue jeans. They were carrying a black backpack with a band-aid on their nose, and their right hand was wrapped with a bandage.']"
60,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2024/02/security-incident-february-8,Indecent Act,2024-02-08T13:13:00.000-05:00,2024-02-07T08:45:00.000-05:00,2024-02-07T08:45:00.000-05:00,Bond Street and Dundas Street East,,A TMU community member reported to TMU Security that an individual was masturbating. Security attended but the individual had already left campus.,"['The individual was described as male, with a light complexion, approximately 40 to 50 years old and approximately 173 cm (5â\x80\x998â\x80\x9d). They had short black hair. They were wearing a black jacket, grey sweatpants and white sneakers.']"
61,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2024/02/security-incident-february-7,Assault,2024-02-07T16:39:00.000-05:00,2024-02-05T08:30:00.000-05:00,2024-02-05T08:30:00.000-05:00,Dundas Street West and Yonge Street,,"A TMU community member reported to TMU Security that an individual approached them from behind and pushed them to the ground and yelled at them. The community got up and left the area. Visible injuries were reported, and security provided medical assistance. The community member declined assistance from Toronto Police Service.",['The individual was described as male with a light complexion and approximately 35 to 40 years old. They had black hair. They were wearing a blue blazer.']
62,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2024/02/security-incident-february-6,Assault,2024-02-06T18:25:00.000-05:00,2024-02-02T22:45:00.000-05:00,2024-02-02T22:45:00.000-05:00,Gould Street and Church Street,,"A TMU community member reported to TMU Security an individual yelled at them and spat towards them, but did not make contact. The individual was then seen leaving campus. The community member declined assistance from Toronto Police Service.","['The individual was described as female with a light complexion, approximately 50 to 55 years old and approximately 157 cm (5â\x80\x992â\x80\x9d). They had white hair. They were wearing a green coat and white sneakers.']"
63,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2024/02/security-incident-february-1,Assault: Suspect Arrested,2024-02-01T15:51:00.000-05:00,2024-01-31T12:30:00.000-05:00,2024-01-30T15:00:00.000-05:00,Yonge Street and Dundas Street West,,Toronto Police Service reported to TMU Security that a TMU community member was approached from behind by an individual and stabbed in the lower body with an edged object. The individual then fled. The community member sustained injuries and was provided medical assistance by Toronto Paramedic Services.,['Description div not found.']
64,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2024/01/security-incident-january-26,Assault: Suspect Arrested,2024-01-26T18:48:00.000-05:00,2024-01-24T21:45:00.000-05:00,2024-01-24T21:45:00.000-05:00,Gould Street and Bond Street,,"A member of the public reported to TMU Security that an individual approached them and punched them in the face. Security attended and barred the individual from campus. While the member of the public was leaving the area, the individual was seen sprinting towards them. Security intervened, and they began yelling at security. Another member of the public attended and attempted to speak with the individual but was punched on the shoulder. Security then arrested the individual. No visible injuries were reported. Toronto Police Service were notified and attended.","['The individual was described as male, with a medium complexion, is 28 years old and approximately 170 cm (5â\x80\x997â\x80\x9d). They had medium-length black hair and a black full beard. They were wearing a grey jacket, beige hoodie, blue jeans and black boots.']"
65,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2024/01/security-incident-january-25-2,Assault,2024-01-25T18:54:00.000-05:00,2024-01-20T21:15:00.000-05:00,2024-01-20T21:15:00.000-05:00,Victoria Street and Dundas Street East,,A member of the public reported to TMU Security that an individual approached them brandishing a non-edged object and threatened to harm them. The member of the public headed into a nearby TMU building while the individual left the area. Toronto Police Service was notified and attended.,"['The individual was described as male. with a light complexion and approximately 173 cm (5â\x80\x998â\x80\x9d). They were wearing a black toque, a black jacket, black pants and black boots.']"
66,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2024/01/security-incident-january-25,Indecent Act,2024-01-25T18:52:00.000-05:00,2024-01-19T23:45:00.000-05:00,2024-01-19T23:45:00.000-05:00,Daphne Cockwell Health Sciences Complex parking lot,,TMU Security found an individual masturbating and identified and barred them from campus.,"['The individual was described as male, with a medium complexion, is 59 years old and approximately 165 cm (5â\x80\x995â\x80\x9d). They had white facial hair. They were wearing a black jacket, grey hoodie and blue jeans.']"
67,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2024/01/security-incident-january-17,Assault,2024-01-17T16:00:00.000-05:00,2024-01-15T17:45:00.000-05:00,2024-01-15T17:45:00.000-05:00,Nelson Mandela Walk and Gerrard Street East,,A TMU community member reported to TMU Security that an individual attempted to enter a TMU building without a OneCard while the community member was leaving. The community member stopped the individual who then punched them in the face and then fled. Visible injuries were reported and security provided medical assistance. Toronto Police Service was notified and attended.,"['The individual was described as male with a medium complexion, approximately 18 to 25 years old and approximately 178 cm (5â\x80\x9910â\x80\x9d). They had medium-length black curly hair and a black goatee. They were wearing glasses, a black coat, black sweater, light blue jeans and black sneakers.']"
