,page,incidentType,date,dateReported,dateOfIncident,location,otherIncidentType,Incident Details,Description Details
20,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2024/06/security-incident-june-19,Indecent Act,2024-06-19T14:52:00.000-04:00,2024-06-14T17:00:00.000-04:00,2024-06-14T17:00:00.000-04:00,Kerr Hall Quad,,A member of the public reported to TMU Security that they witnessed an individual masturbating. Security attended and the individual left campus before Security could intervene.,"['The individual was described as male, with a dark complexion, approximately 17 to 19 years old and approximately 175 cm (5â\x80\x999â\x80\x9d). They had short black hair. They were wearing a black hoodie and black jeans.']"
21,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2024/06/security-incident-june-14,Indecent Act,2024-06-14T17:42:00.000-04:00,2024-06-13T13:30:00.000-04:00,2024-06-13T13:30:00.000-04:00,300 Victoria Street Parking Garage,,TMU Security found an individual masturbating and barred them from campus.,"['The individual was described as female, with a dark complexion, is 29 years old and approximately 165 cm (5â\x80\x995â\x80\x9d). They had short black hair. They were wearing a black long sleeve t-shirt, dark green pants and beige sneakers.']"
22,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2024/06/security-incident-june-12,Sexual Assault,2024-06-12T12:14:00.000-04:00,2024-06-07T14:00:00.000-04:00,2024-05-29T15:30:00.000-04:00,Yonge-Dundas Square Building,,A TMU community member reported to TMU Security that an individual approached them and sexually assaulted them. The community member then yelled at the individual and left the area. The community member declined assistance from the Toronto Police Service.,"['The individual was described as male, with a dark complexion and approximately 188 cm (6â\x80\x992â\x80\x9d). They had dark clothing.']"
23,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2024/06/security-incident-june-5,Sexual Assault: Suspect Arrested,2024-06-05T21:22:00.000-04:00,2024-06-04T15:00:00.000-04:00,2024-06-04T15:00:00.000-04:00,Victoria Building,,Toronto Police Service informed TMU Security that an individual sexually assaulted a TMU community guest and was arrested.,"['The individual was described as male, with a dark complexion, is 25 years old and approximately 173 cm (5â\x80\x998â\x80\x9d). They had short black hair. They were wearing a dark blue t-shirt, black sweatpants and black sneakers.']"
24,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2024/06/security-incident-june-3,Assault: Suspect Arrested,2024-06-03T16:03:00.000-04:00,2024-05-30T18:30:00.000-04:00,2024-05-30T18:15:00.000-04:00,Victoria Street and Dundas Street East,,Toronto Police Service informed TMU Security that an individual stabbed a member of the public with an edged object. The member of the public was provided medical assistance by Toronto Paramedic Services. The individual was located off campus and arrested.,"['The individual was described as female, with a light complexion and approximately 168 cm (5â\x80\x996â\x80\x9d). They were wearing a black coat, white top, black pants and carrying two bags.']"
25,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2024/05/security-incident-may-30,Sexual Assault,2024-05-30T20:05:00.000-04:00,2024-05-28T21:15:00.000-04:00,2024-05-28T21:15:00.000-04:00,Gould Street and Victoria Street,,TMU Security witnessed a member of the public pushing an individual and intervened. The member of the public reported that the individual sexually assaulted them. Security identified the individual and barred them from campus. The member of the public declined assistance from Toronto Police Service.,"['The individual was described as male, with a dark complexion, is 31 years old and approximately 173 cm (5â\x80\x998â\x80\x9d). They had short black hair and a black goatee. They were wearing a grey vest, blue t-shirt, multi-coloured sneakers and carrying a satchel.']"
26,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2024/05/security-incident-may-29-4,Assault,2024-05-29T21:17:00.000-04:00,2024-05-28T12:15:00.000-04:00,2024-05-28T12:00:00.000-04:00,Gould Street and Church Street,,A TMU community guest reported to TMU Security that an individual approached them begging for money and the community guest ignored them. The individual then poured a liquid on the community guestâs head. Security attended but the individual was no longer in the area. The community guest declined assistance from Toronto Police Service.,"['The individual was described as female, with a light complexion and approximately 30 to 35 years old. They had black hair in a bun. They were wearing a pink t-shirt.']"
27,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2024/05/security-incident-may-29-3,Assault: Suspect Arrested,2024-05-29T19:29:00.000-04:00,2024-05-28T11:00:00.000-04:00,2024-05-28T11:00:00.000-04:00,Victoria Street and Dundas Street East,,"A TMU community member reported to TMU Security that an individual kicked them on their back causing them to fall and then left the area. The community member complained of pain and Toronto Paramedic Services notified and attended. The individual was located and Toronto Police Service notified, attended and arrested them.","['The individual was described as male, with a dark complexion, is 46 years old and approximately 180 cm (5â\x80\x9911â\x80\x9d). They had short black and a black goatee. They were wearing a white t-shirt, black hoodie, white jeans and brown boots.Â']"
28,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2024/05/security-incident-may-29-2,Sexual Assault,2024-05-29T19:27:00.000-04:00,2024-05-28T15:00:00.000-04:00,2024-05-27T17:45:00.000-04:00,Dundas Street West and Yonge Street,,A TMU community member reported to TMU Security that an individual sexually assaulted them and then left the area. Toronto Police Service were notified and attended.,"['The individual was described as male, with a medium complexion, approximately 26 to 32 years old and approximately 157 cm (5â\x80\x992â\x80\x9d). They had short black hair. They were wearing a multi-coloured t-shirt and beige cargo pants.']"
29,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2024/05/security-incident-may-29,Uttering Threats,2024-05-29T19:25:00.000-04:00,2024-05-27T17:30:00.000-04:00,2024-05-27T17:30:00.000-04:00,Gould Street and Nelson Mandela Walk,,"TMU Security heard an individual threatening a member of the public. Security intervened, identified the individual and escorted them off campus. The member of the public declined assistance from Toronto Police Service.","['The individual was described as male, with a medium complexion, is 33 years old and approximately 168 cm (5â\x80\x996â\x80\x9d). They had black facial hair. They were wearing a black baseball hat, black t-shirt, black sweatpants and carrying a beige bag.']"
30,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2024/05/security-incident-may-28,Assault,2024-05-28T12:49:00.000-04:00,2024-05-22T21:15:00.000-04:00,2024-05-22T20:00:00.000-04:00,Dundas Street East and Yonge Street,,A TMU community member reported to TMU Security that an individual made inappropriate comments towards them and repeatedly splashed them with beer. The community then left the area. The community member declined assistance from Toronto Police Service.,"['The individual was described as male, with a light complexion and approximately 50 to 60 years old. They had short hair. They were wearing a red t-shirt and black shorts.']"
31,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2024/05/security-incident-may-23-4,Assault,2024-05-23T11:29:00.000-04:00,2024-05-21T12:45:00.000-04:00,2024-05-21T12:45:00.000-04:00,Nelson Mandela Walk and Gerrard Street East,,"A TMU community member reported to TMU Security that they witnessed an individual swinging edged objects at three members of the public and soon after leaving the area. One of the members of the public sustained an injury, but declined medical assistance. The members of the public declined assistance from Toronto Police Service.","['The individual was described as male, with a light complexion and approximately 30 to 35 years old. They had short dark brown hair. They were wearing a white baseball hat, grey t-shirt, black jeans and carrying blue and black bags.Â']"
32,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2024/05/security-incident-may-23-3,Other,2024-05-23T11:27:00.000-04:00,2024-05-18T13:30:00.000-04:00,2024-05-18T02:15:00.000-04:00,Yonge Street and Dundas Street East,Toronto Police Service News Release,Toronto Police Service has published a news release regarding an aggravated assault investigation and are seeking assistance from the community.,['Description div not found.']
33,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2024/05/security-incident-may-23-2,Assault,2024-05-23T11:24:00.000-04:00,2024-05-17T21:30:00.000-04:00,2024-05-17T21:30:00.000-04:00,Victoria Street and Dundas Street East,,"TMU Security witnessed a member of the public being punched and soon after the individual fleeing from the area. The member of the public informed security they were also stabbed with an edged object, but declined medical assistance from security. Toronto Paramedic Services and Toronto Police Service were notified and attended.","['The individual was described as female, with a light complexion, approximately 25 to 30 years old and approximately 163 cm (5â\x80\x994â\x80\x9d). They were wearing a red baseball hat, black coat, black jeans, black running shoes and carrying a red bag.']"
34,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2024/05/security-incident-may-23,Assault,2024-05-23T11:22:00.000-04:00,2024-05-15T23:45:00.000-04:00,2024-05-15T21:00:00.000-04:00,Gould Street and Church Street,,A TMU community member reported to TMU Security that an individual attacked and yelled at them. Visible injuries were reported.,"['The individual was described as male, with a dark complexion and approximately 20 to 30 years old. They were wearing a dark hoodie.']"
35,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2024/05/security-incident-may-17,Indecent Act,2024-05-17T13:15:00.000-04:00,2024-05-16T16:00:00.000-04:00,2024-05-16T16:00:00.000-04:00,Victoria Street Lane and Dundas Street East,,TMU Security found an individual masturbating and barred them from campus.,"['The individual was described as male, with a dark complexion, is 26 years old and approximately 175 cm (5â\x80\x999â\x80\x9d). They had short black curly hair and black facial hair. They were wearing a black t-shirt and dark green jeans.']"
36,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2024/05/security-incident-may-15-2,Assault: Suspect Arrested,2024-05-15T18:29:00.000-04:00,2024-05-14T13:45:00.000-04:00,2024-05-14T13:45:00.000-04:00,Gould Street and the Nelson Mandela Walk,,A TMU community member reported to TMU Security that an individual pushed them and threw a water bottle at them. The community member left the area and the individual chased them until the community member came across security. Security intervened and arrested the individual. Toronto Police Service were notified and attended.,"['The individual was described as male, with a dark complexion, approximately 25 to 35 years old and approximately 175 cm (5â\x80\x999â\x80\x9d). They had short black hair and black facial hair. They were wearing a plaid coat, grey hoodie and beige cargo pants.']"
37,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2024/05/security-incident-may-15,Robbery,2024-05-15T13:19:00.000-04:00,2024-05-09T17:15:00.000-04:00,2024-05-09T17:15:00.000-04:00,Gould Street and Church Street,,"A TMU community member reported to TMU Security that an individual grabbed their belongings and asked them what they were going to do about it. The community member left the area and the individual followed them into a nearby building, but left after seeing the community member calling security.  Security attended, but the individual was no longer in the area. The community member declined assistance from Toronto Police Service.","['The individual was described as male, with a dark complexion, approximately 20 to 35 years old and approximately 193 cm (6â\x80\x994â\x80\x9d). They had medium-length hair. They were wearing a green hoodie and blue jeans.']"
38,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2024/05/security-incident-may-6,Indecent Act,2024-05-06T17:22:00.000-04:00,2024-05-05T21:45:00.000-04:00,2024-05-05T21:45:00.000-04:00,Victoria Street Lane and Dundas Street East,,TMU Security found an individual masturbating and barred them from campus.,"['The individual was described as female, with a light complexion, approximately 30 to 35 years old and approximately 160 cm (5â\x80\x993â\x80\x9d). They had medium-length dark brown hair. They were wearing a black coat and black tights.']"
39,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2024/05/security-incident-may-3-2,Assault,2024-05-03T19:33:00.000-04:00,2024-04-30T14:45:00.000-04:00,2024-04-30T14:45:00.000-04:00,Victoria Street and Gould Street,,TMU Security witnessed an individual throwing objects at individuals on campus. Security identified the individual and barred them from campus.Â,"['The individual was described as male, with a light complexion, is 29 years old and approximately 178 cm (5â\x80\x9910â\x80\x9d). They were bald. They were wearing a black hoodie, grey sweatpants and sneakers.Â']"
40,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2024/05/security-incident-may-3,Uttering Threats,2024-05-03T19:32:00.000-04:00,2024-04-30T12:15:00.000-04:00,2024-04-30T12:15:00.000-04:00,Church Street and Gould Street,,"A TMU community member reported to TMU Security that they witnessed an individual threatening passersby. Security attended, identified the individual and barred them from campus.","['The individual was described as male, with a light complexion, is 31 years old and approximately 178 cm (5â\x80\x9910â\x80\x9d). They were wearing a baseball hat, a bandana, red hoodie and blue jeans.']"
41,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2024/04/security-incident-april-30-2,Uttering Threats,2024-04-30T15:36:00.000-04:00,2024-04-30T06:45:13.972-04:00,2024-04-29T20:45:00.000-04:00,Nelson Mandela Walk and Gould Street,,A TMU community member reported to TMU Security that an individual threatened to kick their dog and made inappropriate comments towards them. Toronto Police Service was notified.,"['The individual was described as male with a dark complexion. They were wearing sunglasses, black hoodie and black sweatpants.']"
42,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2024/04/security-incident-april-30,Assault,2024-04-30T15:35:00.000-04:00,2024-04-29T14:00:00.000-04:00,2024-04-29T13:30:00.000-04:00,Church Street and Gerrard Street East,,"A TMU community member reported to TMU Security that an individual punched them and then ran away. Visible injuries were reported, but the community member declined medical assistance. The community member informed security they would notify Toronto Police Service.","['The individual was described as male, with a light complexion, approximately 20 to 35 years old and approximately 178 cm (5â\x80\x9910â\x80\x9d). They had short dark brown hair. They were wearing a black windbreaker, black jeans and black running shoes.']"
43,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2024/04/security-incident-april-25,Criminal Harassment,2024-04-25T13:07:00.000-04:00,2024-04-23T15:45:00.000-04:00,2024-04-23T15:45:00.000-04:00,Balzac’s at the Image Centre,,"A TMU community guest reported to TMU Security that an individual yelled at them and then attempted to engage them in conversation while moving closer towards the community guest. The community guest told them to move back and the individual again yelled, spat on the floor and left. The community guest declined assistance from Toronto Police Service.","['The individual was described as male, with a medium complexion, approximately 20 to 25 years old and approximately 178 cm (5â\x80\x9910â\x80\x9d). They had short black hair and a black full beard. They were wearing a black sweater, black t-shirt, blue jeans and black sneakers.']"
44,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2024/04/security-incident-april-24,Assault,2024-04-24T20:00:00.000-04:00,2024-04-20T13:00:00.000-04:00,2024-04-20T13:00:00.000-04:00,Recreation Athletics Centre,,"A TMU community member reported to TMU Security that an individual assaulted a community guest by grabbing their arm and yelling at them, and then left the area. Visible injuries were reported and medical assistance was declined. The community guest declined assistance from the Toronto Police Service.","['The individual was described as male, with a light complexion, approximately 55 to 70 years old and approximately 183 cm (6â\x80\x99). They had dark brown hair, white facial hair. They were wearing thin-framed eyeglasses.']"
