,page,incidentType,date,dateReported,dateOfIncident,location,otherIncidentType
157,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/10/security-incident-october-6,Other,2021-10-06T13:21:00.000-04:00,2021-10-01T19:00:00.000-04:00,2021-09-01T12:00:00.000-04:00,Dundas Street West and Yonge Street,Toronto Police Service News Release 
158,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/10/security-incident-october-5-2,Criminal Harassment,2021-10-05T14:47:00.000-04:00,2021-09-27T08:30:00.000-04:00,2021-09-27T08:30:00.000-04:00,Gould Street and Yonge Street,
159,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/10/security-incident-october-5,Assault,2021-10-05T14:45:00.000-04:00,2021-09-20T05:30:00.000-04:00,2021-09-19T15:00:00.000-04:00,Victoria Street and Dundas Street East,
160,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/09/security-incident-september-28,Assault,2021-09-28T12:01:00.000-04:00,2021-09-26T17:30:00.000-04:00,2021-09-26T17:15:00.000-04:00,Gould Street and Yonge Street,
161,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/09/security-incident-september-23-2,Assault,2021-09-23T13:00:00.000-04:00,2021-09-23T14:30:30.184-04:00,2021-09-23T14:30:33.046-04:00,Victoria Street and Gould Street,
162,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/09/security-incident-september-23,Criminal Harassment,2021-09-23T12:57:00.000-04:00,2021-09-19T15:15:00.000-04:00,2021-09-19T15:15:00.000-04:00,Nelson Mandela Walk and Gerrard Street East,
163,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/09/security-incident-september-21,Assault,2021-09-21T15:12:00.000-04:00,2021-09-19T21:45:00.000-04:00,2021-09-19T21:45:00.000-04:00,Gould Street and Yonge Street,
164,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/09/security-incident-september-19-2,Assault,2021-09-19T15:30:00.000-04:00,2021-09-14T19:00:00.000-04:00,2021-09-14T19:00:00.000-04:00,Nelson Mandela Walk and Gould Street,
165,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/09/security-incident-september-19,Assault,2021-09-19T15:27:00.000-04:00,2021-09-08T20:45:00.000-04:00,2021-09-08T20:45:00.000-04:00,Gould Street and Yonge Street,
166,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/09/security-incident-september-13-5,Assault,2021-09-13T13:25:00.000-04:00,2021-09-10T20:45:00.000-04:00,2021-09-10T20:45:00.000-04:00,Gould Street and Victoria Street,
167,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/09/security-incident-september-13-4,Criminal Harassment,2021-09-13T13:22:00.000-04:00,2021-09-07T12:15:00.000-04:00,2021-09-05T22:00:00.000-04:00,Gould Street and Victoria Street,
168,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/09/security-incident-september-13-3,Indecent Act,2021-09-13T13:20:00.000-04:00,2021-09-03T22:30:00.000-04:00,2021-09-03T22:30:00.000-04:00,Nelson Mandela Walk and Gould Street ,
169,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/09/security-incident-september-13-2,Assault,2021-09-13T13:18:00.000-04:00,2021-09-03T13:00:00.000-04:00,2021-09-03T13:00:00.000-04:00,Yonge Street and Gould Street ,
170,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/09/security-incident-september-13,Other,2021-09-13T13:15:00.000-04:00,2021-09-03T21:00:00.000-04:00,2021-09-02T11:30:00.000-04:00,Yonge Street and Dundas Street West,Toronto Police Service News Release 
171,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/09/security-incident-september-2-2,Assault: Suspect Arrested,2021-09-02T19:53:00.000-04:00,2021-09-02T00:30:35.746-04:00,2021-09-02T00:30:00.000-04:00,Gerrard Street East and Nelson Mandela Walk,
172,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/09/security-incident-september-2,Indecent Act,2021-09-02T19:50:00.000-04:00,2021-09-01T11:30:00.000-04:00,2021-09-01T11:30:00.000-04:00,Church Street and Gerrard Street East,
173,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/09/security-incident-september-1-2,Robbery,2021-09-01T12:19:00.000-04:00,2021-08-27T17:45:00.000-04:00,2021-08-27T17:45:00.000-04:00,Victoria Street and Gould Street,
174,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/09/security-incident-september-1,Assault,2021-09-01T12:13:00.000-04:00,2021-08-26T12:45:00.000-04:00,2021-08-26T12:45:00.000-04:00,Nelson Mandela Walk and Gerrard Street East,
175,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/08/security-incident-august-26-2,Indecent Act,2021-08-26T17:50:00.000-04:00,2021-08-23T17:00:00.000-04:00,2021-08-23T17:00:00.000-04:00,Mutual Street and Gould Street,
176,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/08/security-incident-august-26,Other,2021-08-26T17:48:00.000-04:00,2021-08-23T17:15:00.000-04:00,2021-08-23T00:00:00.000-04:00,Dundas Street and Yonge Street,Toronto Police Service News Release 
177,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/08/security-incident-august-19-2,Assault,2021-08-19T10:43:00.000-04:00,2021-08-17T20:45:00.000-04:00,2021-08-17T19:30:00.000-04:00,Dundas Street East and Church Street,
178,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/08/security-incident-august-19,Assault,2021-08-19T10:42:00.000-04:00,2021-08-17T09:15:00.000-04:00,2021-08-17T08:45:00.000-04:00,Gould Street and Bond Street,
179,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/08/security-incident-august-18,Robbery,2021-08-18T21:00:00.000-04:00,2021-08-12T10:15:00.000-04:00,2021-08-12T10:15:00.000-04:00,Gould Street and Bond Street,
180,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/08/security-incident-august-16-4,Assault,2021-08-16T17:22:00.000-04:00,2021-08-15T23:15:00.000-04:00,2021-08-15T23:15:00.000-04:00,Nelson Mandela Walk and Gould Street,
181,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/08/security-incident-august-16-3,Assault,2021-08-16T12:54:00.000-04:00,2021-08-15T14:15:00.000-04:00,2021-08-15T14:15:00.000-04:00,Yonge Street and Gould Street,
182,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/08/security-incident-august-16-2,Assault: Suspect Arrested,2021-08-16T12:52:00.000-04:00,2021-08-15T01:45:00.000-04:00,2021-08-15T01:45:00.000-04:00,Gould Street and O’Keefe Laneway,
183,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/08/security-incident-august-16,Assault,2021-08-16T12:50:00.000-04:00,2021-08-11T18:45:00.000-04:00,2021-08-11T18:45:00.000-04:00,Gould Street and Bond Street,
184,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/08/security-incident-august-12-3,Indecent Act,2021-08-12T14:22:00.000-04:00,2021-08-11T04:30:00.000-04:00,2021-08-11T04:30:00.000-04:00,Kerr Hall Quad,
185,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/08/security-incident-august-12-2,Other,2021-08-12T14:20:00.000-04:00,2021-08-11T07:45:00.000-04:00,2021-07-11T01:45:00.000-04:00,Dundas Street East and Mutual Street,Toronto Police Service News Release
186,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/08/security-incident-august-12,Robbery,2021-08-12T14:19:00.000-04:00,2021-05-30T10:15:00.000-04:00,2021-05-26T00:30:00.000-04:00,Gould Street and Victoria Street,
187,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/08/security-incident-august-11-2,Robbery,2021-08-11T10:40:00.000-04:00,2021-08-08T06:30:00.000-04:00,2021-08-08T06:30:00.000-04:00,Victoria Street and Gould Street,
188,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/08/security-incident-august-11,Criminal Harassment,2021-08-11T10:38:00.000-04:00,2021-08-07T21:45:00.000-04:00,2021-08-07T21:45:00.000-04:00,Gould Street and Victoria Street,
189,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/08/security-incident-august-9-7,Uttering Threats,2021-08-09T15:32:00.000-04:00,2021-08-08T06:15:00.000-04:00,2021-08-08T06:15:00.000-04:00,Nelson Mandela Walk and Gerrard Street East,
190,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/08/security-incident-august-9-6,Indecent Act,2021-08-09T15:31:00.000-04:00,2021-08-07T19:30:00.000-04:00,2021-08-07T19:30:00.000-04:00,Bond Street and Gould Street,
191,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/08/security-incident-august-9-5,Indecent Act,2021-08-09T15:30:00.000-04:00,2021-08-07T11:30:00.000-04:00,2021-08-07T11:30:00.000-04:00,Victoria Street and Gould Street,
192,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/08/security-incident-august-9-4,Assault,2021-08-09T14:04:00.000-04:00,2021-08-06T12:45:00.000-04:00,2021-08-06T12:45:00.000-04:00,Gould Street and Victoria Street,
193,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/08/security-incident-august-9-3,Indecent Act,2021-08-09T14:03:00.000-04:00,2021-08-05T10:30:00.000-04:00,2021-08-05T10:30:00.000-04:00,Gould Street and Victoria Street,
194,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/08/security-incident-august-9-2,Assault: Suspect Arrested,2021-08-09T14:01:00.000-04:00,2021-08-04T13:30:00.000-04:00,2021-08-04T13:30:00.000-04:00,Victoria Street and Gould Street,
195,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/08/security-incident-august-9,Robbery,2021-08-09T14:00:00.000-04:00,2021-07-21T15:30:00.000-04:00,2021-07-21T15:15:00.000-04:00,Yonge Street and Gould Street,
196,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/07/security-incident-july-28,Assault,2021-07-28T11:36:00.000-04:00,2021-07-26T13:15:00.000-04:00,2021-07-26T13:15:00.000-04:00,Yonge Street and Gould Street,
197,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/07/security-incident-july-23,Uttering Threats,2021-07-23T18:10:00.000-04:00,2021-07-17T21:30:00.000-04:00,2021-07-17T21:30:00.000-04:00,Victoria Street and Gould Street,
198,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/07/security-incident-july-22-2,Assault,2021-07-22T14:08:00.000-04:00,2021-07-19T18:45:00.000-04:00,2021-07-19T18:45:00.000-04:00,Gerrard Street East and Nelson Mandela Walk,
199,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/07/security-incident-july-22,Robbery,2021-07-22T14:06:00.000-04:00,2021-07-20T17:00:00.000-04:00,2021-07-19T02:30:00.000-04:00,Gould Street and Yonge Street,
200,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/07/security-incident-july-19,Assault,2021-07-19T18:12:00.000-04:00,2021-07-14T17:15:00.000-04:00,2021-07-13T15:30:00.000-04:00,Dundas Street East and Victoria Street,
201,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/07/security-incident-july-15-2,Uttering Threats,2021-07-15T13:10:00.000-04:00,2021-07-13T20:45:00.000-04:00,2021-07-13T20:45:00.000-04:00,Yonge Street and Gould Street,
202,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/07/security-incident-july-15,Assault,2021-07-15T13:07:00.000-04:00,2021-07-02T22:30:00.000-04:00,2021-07-02T22:30:00.000-04:00,Yonge Street and Gerrard Street,
203,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/07/security-incident-july-13-2,Criminal Harassment,2021-07-13T13:36:00.000-04:00,2021-07-07T17:30:00.000-04:00,2021-07-07T17:30:00.000-04:00,Gerrard Street East and Nelson Mandela Walk,
204,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/07/security-incident-july-13,Assault,2021-07-13T13:35:00.000-04:00,2021-07-06T18:15:00.000-04:00,2021-07-06T06:15:00.000-04:00,Gould Street and Bond Street,
205,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/07/security-incident-july-8-5,Robbery: Suspect Arrested,2021-07-08T15:08:00.000-04:00,2021-07-03T15:30:00.000-04:00,2021-07-03T15:30:00.000-04:00,Bond Street and Gould Street,
206,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/07/security-incident-july-8-4,Assault,2021-07-08T15:03:00.000-04:00,2021-07-03T13:00:00.000-04:00,2021-07-03T13:00:00.000-04:00,Gould Street and Yonge Street,
207,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/07/security-incident-july-8-3,Indecent Act,2021-07-08T15:01:00.000-04:00,2021-07-03T01:00:00.000-04:00,2021-07-03T01:00:00.000-04:00,Victoria Street and Dundas Street East,
208,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/07/security-incident-july-8-2,Assault: Suspect Arrested,2021-07-08T15:00:00.000-04:00,2021-06-30T19:00:00.000-04:00,2021-06-30T19:00:00.000-04:00,Bond Street and Gould Street,
209,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/07/security-incident-july-8,Assault,2021-07-08T14:59:00.000-04:00,2021-06-17T12:45:00.000-04:00,2021-06-17T12:45:00.000-04:00,Victoria Street and Dundas Street East,
210,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/07/security-incident-july-7-6,Indecent Act,2021-07-07T16:27:00.000-04:00,2021-06-25T06:30:00.000-04:00,2021-06-25T06:30:00.000-04:00,Gould Street and Yonge Street,
211,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/07/security-incident-july-7-5,Robbery,2021-07-07T16:24:00.000-04:00,2021-06-25T12:45:00.000-04:00,2021-06-25T12:45:00.000-04:00,Gould Street and Yonge Street,
212,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/07/security-incident-july-7-4,Assault,2021-07-07T16:22:00.000-04:00,2021-06-25T16:30:00.000-04:00,2021-06-25T16:30:00.000-04:00,Gould Street and Yonge Street,
213,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/07/security-incident-july-7-3,Assault,2021-07-07T16:20:00.000-04:00,2021-06-24T11:15:00.000-04:00,2021-06-24T11:15:00.000-04:00,Kerr Hall Quad,
214,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/07/security-incident-july-7-2,Assault,2021-07-07T16:16:00.000-04:00,2021-06-18T18:15:00.000-04:00,2021-06-18T18:15:00.000-04:00,Gould Street and Yonge Street,
215,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/07/security-incident-july-7,Assault,2021-07-07T16:05:00.000-04:00,2021-06-10T12:45:00.000-04:00,2021-06-10T12:45:00.000-04:00,Nelson Mandela Walk and Gould Street,
216,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/07/security-incident-july-6-25,Assault: Suspect Arrested,2021-07-06T18:33:00.000-04:00,2021-06-09T21:45:00.000-04:00,2021-06-09T21:45:00.000-04:00,Nelson Mandela Walk and Gerrard Street,
217,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/07/security-incident-july-6-24,Assault,2021-07-06T18:31:00.000-04:00,2021-06-09T12:30:00.000-04:00,2021-06-09T12:30:00.000-04:00,Victoria Street and Gould Street,
218,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/07/security-incident-july-6-23,Robbery,2021-07-06T18:28:00.000-04:00,2021-06-08T22:15:00.000-04:00,2021-06-08T22:15:00.000-04:00,Gould Street and Yonge Street,
219,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/07/security-incident-july-6-22,Criminal Harassment,2021-07-06T18:26:00.000-04:00,2021-06-05T12:45:00.000-04:00,2021-06-05T12:45:00.000-04:00,Victoria Street and Gould Street,
220,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/07/security-incident-july-6-21,Assault,2021-07-06T18:25:00.000-04:00,2021-06-01T11:15:00.000-04:00,2021-05-31T20:30:00.000-04:00,Church Street and Gould Street,
221,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/07/security-incident-july-6-20,Assault,2021-07-06T18:24:00.000-04:00,2021-05-29T09:30:00.000-04:00,2021-05-29T09:30:00.000-04:00,O’Keefe Laneway and Gould Street,
222,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/07/security-incident-july-6-19,Assault,2021-07-06T18:22:00.000-04:00,2021-05-28T12:15:00.000-04:00,2021-05-28T12:15:00.000-04:00,Yonge Street and Gould Street,
223,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/07/security-incident-july-6-18,Assault,2021-07-06T18:21:00.000-04:00,2021-05-21T23:15:00.000-04:00,2021-05-21T23:15:00.000-04:00,Nelson Mandela Walk and Gould Street,
224,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/07/security-incident-july-6-17,Assault: Suspect Arrested,2021-07-06T18:20:00.000-04:00,2021-05-20T14:15:00.000-04:00,2021-05-20T14:15:00.000-04:00,Gould Street and Yonge Street,
225,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/07/security-incident-july-6-16,Assault,2021-07-06T18:18:00.000-04:00,2021-05-17T20:15:00.000-04:00,2021-05-17T20:15:00.000-04:00,Gould Street and Yonge Street,
226,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/07/security-incident-july-6-15,Assault,2021-07-06T18:17:00.000-04:00,2021-05-17T07:15:00.000-04:00,2021-05-17T07:15:00.000-04:00,Victoria Street and Gould Street,
227,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/07/security-incident-july-6-14,Robbery,2021-07-06T18:13:00.000-04:00,2021-05-14T15:30:00.000-04:00,2021-05-14T15:30:00.000-04:00,Nelson Mandela Walk and Gerrard Street East,
228,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/07/security-incident-july-6-13,Assault,2021-07-06T18:12:00.000-04:00,2021-05-14T14:15:00.000-04:00,2021-05-14T14:15:00.000-04:00,O’Keefe Laneway and Gould Street,
229,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/07/security-incident-july-6-12,Assault,2021-07-06T18:11:00.000-04:00,2021-05-14T12:30:00.000-04:00,2021-05-14T12:30:00.000-04:00,Victoria Street and Gould Street,
230,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/07/security-incident-july-6-11,Assault,2021-07-06T18:09:00.000-04:00,2021-05-11T15:30:00.000-04:00,2021-05-11T15:30:00.000-04:00,Gould Street and Bond Street,
231,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/07/security-incident-july-6-10,Assault,2021-07-06T18:08:00.000-04:00,2021-04-30T22:45:00.000-04:00,2021-04-30T22:45:00.000-04:00,Nelson Mandela Walk and Gould Street,
232,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/07/security-incident-july-6-9,Robbery,2021-07-06T18:04:00.000-04:00,2021-04-28T14:30:00.000-04:00,2021-04-27T14:45:00.000-04:00,Gerrard Street East and Nelson Mandela Walk,
233,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/07/security-incident-july-6-8,Assault: Suspect Arrested,2021-07-06T18:00:00.000-04:00,2021-04-25T20:00:00.000-04:00,2021-04-25T20:00:00.000-04:00,Victoria Street and Gould Street,
234,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/07/security-incident-july-6-7,Assault,2021-07-06T17:59:00.000-04:00,2021-04-05T14:45:00.000-04:00,2021-03-29T21:15:00.000-04:00,Gerrard Street East and Yonge Street,
235,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/07/security-incident-july-6-6,Uttering Threats,2021-07-06T17:57:00.000-04:00,2021-03-25T15:00:00.000-04:00,2021-03-25T14:30:00.000-04:00,Yonge Street and  Gould Street,
236,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/07/security-incident-july-6-5,Mischief,2021-07-06T17:56:00.000-04:00,2021-03-25T23:30:00.000-04:00,2021-03-25T23:30:00.000-04:00,Church Street and Gould Street,
237,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/07/security-incident-july-6-4,Assault,2021-07-06T17:55:00.000-04:00,2021-03-23T12:15:00.000-04:00,2021-03-23T12:00:00.000-04:00,Mutual Street and Gould Street,
238,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/07/security-incident-july-6-3,Indecent Act,2021-07-06T17:52:00.000-04:00,2021-03-11T13:30:00.000-05:00,2021-03-11T13:30:00.000-05:00,Nelson Mandela Walk and Gould Street,
239,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/07/security-incident-july-6-2,Robbery: Suspect Arrested,2021-07-06T17:51:00.000-04:00,2021-02-23T20:30:00.000-05:00,2021-02-23T20:15:00.000-05:00,Gould Street and Yonge Street,
240,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/07/security-incident-july-6,Assault,2021-07-06T17:49:00.000-04:00,2021-02-21T23:30:00.000-05:00,2021-02-21T17:00:00.000-05:00,Gould Street and Yonge Street,
241,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/02/security-incident-february-19,Assault,2021-02-19T11:13:00.000-05:00,2021-02-12T01:00:00.000-05:00,2021-02-12T01:00:00.000-05:00,Bond Street and Gould Street,
242,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/01/security-incident-january-26-2,Uttering Threats,2021-01-26T15:57:00.000-05:00,2021-01-18T19:45:00.000-05:00,2021-01-18T19:45:00.000-05:00,Dundas Street East and Mutual Street,
243,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/01/security-incident-january-26,Robbery,2021-01-26T15:54:00.000-05:00,2021-01-18T00:15:00.000-05:00,2021-01-18T00:15:00.000-05:00,Yonge Street and Gould Street,
244,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/01/security-incident-january-15-5,Other,2021-01-15T13:47:00.000-05:00,2021-01-14T13:00:00.000-05:00,2021-01-12T14:45:00.000-05:00,Yonge Street and Dundas Street West,Toronto Police Service News Release
245,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/01/security-incident-january-15-4,Criminal Harassment,2021-01-15T13:45:00.000-05:00,2021-01-09T17:30:00.000-05:00,2021-01-09T17:15:00.000-05:00,Gerrard Street East and Church Street,
246,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/01/security-incident-january-15-3,Assault,2021-01-15T13:41:00.000-05:00,2021-01-03T17:30:00.000-05:00,2021-01-03T17:30:00.000-05:00,Gould Street and Bond Street,
247,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/01/security-incident-january-15-2,Indecent Act,2021-01-15T13:39:00.000-05:00,2021-01-01T02:15:00.000-05:00,2021-01-01T02:15:00.000-05:00,Gerrard Street East and Mutual Street,
248,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/01/security-incident-january-15,Assault,2021-01-15T13:35:00.000-05:00,2020-12-19T09:30:00.000-05:00,2020-12-19T09:30:00.000-05:00,Kerr Hall Quad,
