,page,incidentType,date,dateReported,dateOfIncident,location,otherIncidentType
74,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/09/security-incident-september-28,Assault,2021-09-28T12:01:00.000-04:00,2021-09-26T17:30:00.000-04:00,2021-09-26T17:15:00.000-04:00,Gould Street and Yonge Street,
75,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/09/security-incident-september-23-2,Assault,2021-09-23T13:00:00.000-04:00,2021-09-23T14:30:30.184-04:00,2021-09-23T14:30:33.046-04:00,Victoria Street and Gould Street,
76,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/09/security-incident-september-23,Criminal Harassment,2021-09-23T12:57:00.000-04:00,2021-09-19T15:15:00.000-04:00,2021-09-19T15:15:00.000-04:00,Nelson Mandela Walk and Gerrard Street East,
77,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/09/security-incident-september-21,Assault,2021-09-21T15:12:00.000-04:00,2021-09-19T21:45:00.000-04:00,2021-09-19T21:45:00.000-04:00,Gould Street and Yonge Street,
78,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/09/security-incident-september-19-2,Assault,2021-09-19T15:30:00.000-04:00,2021-09-14T19:00:00.000-04:00,2021-09-14T19:00:00.000-04:00,Nelson Mandela Walk and Gould Street,
79,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/09/security-incident-september-19,Assault,2021-09-19T15:27:00.000-04:00,2021-09-08T20:45:00.000-04:00,2021-09-08T20:45:00.000-04:00,Gould Street and Yonge Street,
80,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/09/security-incident-september-13-5,Assault,2021-09-13T13:25:00.000-04:00,2021-09-10T20:45:00.000-04:00,2021-09-10T20:45:00.000-04:00,Gould Street and Victoria Street,
81,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/09/security-incident-september-13-4,Criminal Harassment,2021-09-13T13:22:00.000-04:00,2021-09-07T12:15:00.000-04:00,2021-09-05T22:00:00.000-04:00,Gould Street and Victoria Street,
82,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/09/security-incident-september-13-3,Indecent Act,2021-09-13T13:20:00.000-04:00,2021-09-03T22:30:00.000-04:00,2021-09-03T22:30:00.000-04:00,Nelson Mandela Walk and Gould Street ,
83,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/09/security-incident-september-13-2,Assault,2021-09-13T13:18:00.000-04:00,2021-09-03T13:00:00.000-04:00,2021-09-03T13:00:00.000-04:00,Yonge Street and Gould Street ,
