,location
201,Nelson Mandela Walk and Gould Street
202,Yonge Street and Gould Street
203,Yonge Street and Gould Street
204,Mutual Street and Gould Street
205,Yonge Street and Dundas Street
206,Church Street and Dundas Street
207,Bond Street and Gould Street
208,Bond Street and Gould Street
209,Nelson Mandela Walk and Gould Street
210,Yonge Street and Gould Street
211,O’Keefe Lane and Gould Street
212,Bond Street and Gould Street
213,Kerr Hall
214,Mutual Street and Dundas Street
215,Victoria Street and Dundas Street
216,Victoria Street and Dundas Street
217,Victoria Street and Dundas Street
218,Nelson Mandela Walk and Gerrard Street
219,Bond Street and Gould Street
220,Victoria Street and Dundas Street
221,Victoria Street and Dundas Street
222,Victoria Street and Dundas Street
223,Victoria Street and Dundas Street
224,Yonge Street and Gould Street
225,Yonge Street and Gould Street
226,Victoria Street and Dundas Street
227,Nelson Mandela Walk and Gerrard Street
228,Yonge Street and Gould Street
229,Nelson Mandela Walk and Gould Street
230,Yonge Street and Gould Street
231,Victoria Street and Dundas Street
232,Victoria Street and Dundas Street
233,Nelson Mandela Walk and Gould Street 
234,Yonge Street and Gould Street 
235,Yonge Street and Dundas Street
236,Nelson Mandela Walk and Gerrard Street
237,Church Street and Gerrard Street
238,Victoria Street and Dundas Street
239,Nelson Mandela Walk and Gerrard Street
240,Yonge Street and Dundas Street
241,Victoria Street and Dundas Street
242,Church Street and Dundas Street
243,Church Street and Carlton Street
244,Nelson Mandela Walk and Gerrard Street
245,Victoria Street and Dundas Street
246,O’Keefe Lane and Gould Street
247,Yonge Street and Gould Street
248,Victoria Street and Dundas Street
249,Church Street and Gould Street
250,Victoria Street and Dundas Street
251,Kerr Hall
252,Victoria Street and Dundas Street
253,Church Street and Gerrard Street
254,Yonge Street and Dundas Street
255,Victoria Street and Dundas Street
256,Yonge Street and Dundas Street
257,Yonge Street and Gould Street
258,Victoria Street and Dundas Street
259,Nelson Mandela Walk
260,Victoria Street and Dundas Street
261,Mutual Street and Gould Street
262,Nelson Mandela Walk and Gerrard Street
263,Church Street and Dundas Street
264,Bond Street and Dundas Street
265,Victoria Street and Dundas Street
266,Yonge Street  and Gould Street
267,Bond Street and Gould Street
268,Yonge Street  and Gould Street
269,Nelson Mandela Walk and Gould Street 
270,Victoria Street and Dundas Street
271,Victoria Street and Dundas Street
272,Church Street and Gerrard Street
273,Nelson Mandela Walk
274,Yonge Street and Gould Street
275,Bond Street and Dundas Street
276,Yonge Street and Gould Street
277,Victoria Street and Dundas Street
278,O’Keefe Lane and Gerrard Street
279,Mutual Street and Gould Street
280,Kerr Hall
281,Victoria Street and Dundas Street
282,Kerr Hall
283,Victoria Street and Dundas Street
284,Yonge Street and Gould Street
285,Yonge Street and Dundas Street
286,Nelson Mandela Walk and Gould Street
287,Victoria Street and Dundas Street
288,Victoria Street and Dundas Street
289,Yonge Street and Gould Street
290,Jarvis Street and Dundas Street
291,Bond Street and Dundas Street
292,Victoria Street and Dundas Street
293,Victoria Street and Dundas Street
294,Kerr Hall
295,Yonge Street and Gould Street
296,Mutual Street and Gould Street
297,Jarvis Street and Gerrard Street
298,Church Street and Dundas Street
299,Church Street and Gould Street
300,Yonge Street and Gould Street
301,Yonge Street and Gould Street
302,Church Street and Granby Street
303,Yonge Street  and Gould Street
304,Kerr Hall
305,Yonge Street and Dundas Street
306,Victoria Street and Dundas Street
307,Nelson Mandela Walk and Gerrard Street
308,Yonge Street and College Street
309,Bond Street and Gould Street
310,Church Street and Gould Street
311,Mutual Street and Gould Street
312,Dalhousie Street and Gould Street
313,Victoria Street and Dundas Street
314,Yonge Street and Gould Street
315,Church Street and Gould Street
316,Yonge Street and Dundas Street
317,Kerr Hall
318,Yonge Street and Gould Street
319,Church Street and Gould Street 
320,Bond Street and Dundas Street 
321,Victoria Street and Dundas Street
322,Kerr Hall
323,Nelson Mandela Walk and Gould Street
324,Victoria Street and Dundas Street
325,Yonge Street and Dundas Street
326,Church Street and Gould Street
327,Church Street and Gould Street
328,O’Keefe Lane and Gould Street
329,O’Keefe Lane and Gould Street
330,Yonge Street and Dundas Street
331,Yonge Street and Gould Street
332,Yonge Street and Gould Street
333,Yonge Street and Elm Street
334,Victoria Street and Dundas Street
335,Yonge Street and Gould Street
336,Victoria Street and Dundas Street
